AL_load_actual_entsoe_power_statistics,AT_load_actual_entsoe_power_statistics,BA_load_actual_entsoe_power_statistics,BE_load_actual_entsoe_power_statistics,BG_load_actual_entsoe_power_statistics,CH_load_actual_entsoe_power_statistics,CY_load_actual_entsoe_power_statistics,CZ_load_actual_entsoe_power_statistics,DE_load_actual_entsoe_power_statistics,DK_load_actual_entsoe_power_statistics,EE_load_actual_entsoe_power_statistics,ES_load_actual_entsoe_power_statistics,FI_load_actual_entsoe_power_statistics,FR_load_actual_entsoe_power_statistics,GR_load_actual_entsoe_power_statistics,HR_load_actual_entsoe_power_statistics,HU_load_actual_entsoe_power_statistics,IE_load_actual_entsoe_power_statistics,IT_load_actual_entsoe_power_statistics,LT_load_actual_entsoe_power_statistics,LU_load_actual_entsoe_power_statistics,LV_load_actual_entsoe_power_statistics,ME_load_actual_entsoe_power_statistics,MK_load_actual_entsoe_power_statistics,NL_load_actual_entsoe_power_statistics,NO_load_actual_entsoe_power_statistics,PL_load_actual_entsoe_power_statistics,PT_load_actual_entsoe_power_statistics,RO_load_actual_entsoe_power_statistics,RS_load_actual_entsoe_power_statistics,SE_load_actual_entsoe_power_statistics,SI_load_actual_entsoe_power_statistics,SK_load_actual_entsoe_power_statistics,TR_load_actual_entsoe_power_statistics,UK_UKM_load_actual_entsoe_power_statistics
901.88,9421,1631.15,11196,4372.35,7577,629.53,8215,70646.83673,4399.1,848.5,38613,7889.56,58169,6701,2152,5898.31,3489.13,53546,1479,906.18,855,434,772,15421,13220.92,20715.30612,6840,6936,4476,13954,1991,3627.57,37579.57,41138.38
873.29,9428,1599.27,11045,4340.69,7484,626.82,8270,69643.15306,4231.6,816.2,38390,7838.8,56960,6473,2107,5923.77,3482.57,54242,1442,831.82,827,421,761,15577,13086.38,20537.7551,7107,6807,4447,13753,1935,3584.75,37301.42,40205.25
860.2,9293,1579.96,10796,4256.7,7425,635.27,8184,68279.80612,4168.8,803.6,38609,7770.65,55958,6530,2098,5867.21,3467.24,54740,1396,766.58,807,412,735,15782,13015.9,20238.77551,7108,6701,4412,13728,1921,3571.81,36949.66,39846.63
863.37,9280,1544.56,10868,4288.5,7267,637.96,8028,67850.17347,4313.5,789.1,38571,7732.94,55557,6617,2103,5798.01,3493.83,53347,1370,835.75,801,414,733,15756,13093.19,19941.83673,7105,6650,4338,13430,1873,3549.98,36038.93,40984
875.65,9080,1518.38,10810,4344.13,7176,634.7,7699,67355.03061,4210.3,775.3,37633,7763.43,55683,6624,2112,5701.09,3572.78,51579,1320,877.8,775,417,738,15135,12970.93,19684.69388,6893,6605,4311,12957,1874,3495.88,34961.32,41606.5
884.61,8642,1549.05,10344,4291.61,6929,613.87,7576,66359.97959,4028.8,747.3,36865,7655.58,53696,6657,2134,5619.33,3493.19,50354,1303,825.09,761,417,754,14637,12817.9,19803.06122,6677,6679,4407,12600,1850,3489.06,34892.86,41388.13
924.25,8413,1579.76,9941,4415.71,6648,624.35,7403,63740.79592,3835.4,721.6,35800,7359.91,50688,6792,2177,5528.55,3338.39,48856,1286,816.87,744,426,769,14236,12788.29,19813.26531,6595,6841,4568,12185,1814,3511.17,34142.69,40934
948.3,8079,1626.51,9653,4343.34,6592,610.41,7254,61577.14286,3679.4,699.4,35016,7433.43,49990,6435,2320,5538.42,3197.67,48408,1233,754.29,722,439,793,13715,12640.95,19663.26531,6509,6734,4828,11726,1791,3485.49,34577.87,40069.5
869.47,7731,1531.96,9792,4013.79,6560,572.02,6856,58558.41837,3532.9,682.3,34314,7356.02,53846,6121,2303,5235.07,3113.74,45078,1122,756.35,690,422,798,13478,12368.69,18800,6608,6081,4637,11291,1740,3316.48,35068.02,39129.5
727.24,7154,1379.65,9473,3570.85,6228,526.5,6493,54381.78571,3258.6,653.4,32254,7028.53,51019,5586,2064,4994.74,3040.75,41675,1034,738.88,623,391,755,12956,11963.95,17142.85714,6400,5564,4272,10668,1597,3130.75,33793.88,37095.13
613.92,6730,1229.46,8884,3240.38,5930,486.88,6144,50846.42857,3050.6,621,30932,6670.74,44871,5192,1775,4666.62,2758.09,38185,1001,695.19,569,348,676,12109,11435.26,15801.02041,5848,5329,3833,10263,1500,2970.45,32440.35,32537.63
553.83,6497,1136.36,8498,3107.09,5814,452.37,6075,48854.39796,2899.4,593.5,29123,6472.21,43847,4973,1738,4421.36,2504.07,35863,965,650.62,543,309,613,11501,11021.94,15171.42857,5451,5188,3482,10006,1394,2832.59,31443.74,28989.88
522.68,6316,1086.04,8310,3056.06,6059,434.97,5961,48135.13265,2813.1,562.7,27700,6293.89,41777,4815,1660,4215.48,2320.43,34402,954,589.55,518,283,570,11172,10836.67,14929.59184,5190,5152,3177,9788,1402,2751.02,29881.58,27159.38
517.39,6243,1025.82,8253,3050.58,6545,423.65,5824,48569.89796,2800,538.3,26887,6232.76,40366,4757,1736,4153.49,2226.7,33684,934,515.06,500,270,530,11016,10766.4,14909.18367,5029,5118,3034,9549,1383,2761.27,28763.8,25886.63
522.06,6538,1015.25,8254,3153.45,6244,414.51,5744,49347.91837,2838,544.3,26646,6347.09,40690,4768,1751,4167.56,2199.24,33449,961,550.85,493,263,493,11037,10656.13,14545.91837,4926,5161,2862,9563,1407,2766.8,27657.32,25072
565.57,7137,1025,8451,3452.67,6163,409.08,6093,52027.32653,3027.9,564.2,26668,6497.68,41984,4889,1723,4310.91,2215.65,33789,1118,605.06,529,268,478,11107,10950.04,14697.95918,4873,5479,2972,9993,1428,2860.35,25932.3,24267.13
684.12,8348,1148.14,9241,3817.97,6255,454.4,7132,59583.46939,3687.5,618.7,27872,6706.51,46390,5446,1871,4980.93,2249.94,37341,1292,643.55,582,301,520,11928,11733.13,16934.69388,4849,6075,3354,10764,1676,3217.11,25645.77,24746.63
813.2,9160,1362.95,9951,4197.33,6932,533.18,7688,65321.32653,4219.1,674.5,30021,6974.1,50603,6158,2028,5393.52,2506.65,43328,1422,664.97,652,350,581,13316,12819.84,19146.93878,4922,6601,3802,11495,1858,3470.19,27024.85,29231.38
902.44,9520,1487.98,10475,4330.32,7447,604.37,7973,68524.06122,4389.2,724.9,32126,7132.34,52962,6782,2214,5490.1,2971.88,49498,1484,707.96,704,390,639,14449,13289.84,20022.44898,5457,6848,4235,12119,1936,3555.98,31012.54,34857
940.59,9632,1553.05,10737,4367.49,7650,639.34,8137,69387.55102,4440.8,751.6,34438,7243.32,54634,7098,2344,5619.87,3324.04,52597,1493,712.34,729,409,677,14943,13512.23,20420.40816,6237,6999,4398,12422,1960,3653.33,34067.57,37485.25
935.65,9832,1574.18,10846,4431.99,7856,653.32,8103,70842.88776,4567,755.1,35933,7322.46,55509,7252,2396,5743.56,3457.47,54018,1489,676.65,734,415,700,15020,13603.27,20454.08163,6623,7027,4515,12407,1958,3642.29,35297.16,37969.25
963.79,9947,1608.51,11161,4422.03,7971,654.96,8199,71959.5,4537.1,751.5,36727,7281.5,56594,7447,2497,5824.6,3491.19,55069,1483,695,734,427,732,15046,13547.51,20822.44898,6745,7077,4614,12314,1964,3670.1,36271.83,37713.38
949.12,9608,1627.56,10877,4487.78,7530,655.01,8231,71205.19388,4596,742.6,37769,7188.22,56807,7475,2558,5922.78,3524.46,53683,1485,758.52,723,435,764,14886,13402.69,20974.4898,6906,7153,4698,11865,1991,3700.63,35454.85,37405.25
916.59,9354,1633.19,10741,4523.45,7706,651.62,8111,69857.53061,4476.4,730.2,38380,7157.37,55434,7276,2562,5880.47,3551.67,53638,1458,672.03,706,444,767,14845,13215.34,20769.38776,6800,7045,4694,11536,1989,3650.6,34993.12,37061.5
894.88,9134,1691.31,10515,4450.4,7550,654.78,7871,68292.70408,4191,719.7,37741,7173.77,54900,7018,2515,5822.61,3490.85,54590,1419,670.16,686,443,764,14606,12989.88,20494.89796,6815,6996,4689,11416,1956,3609.17,36894.01,36909.38
875.85,9023,1668.73,10348,4441.41,7409,650.1,7899,66954.14286,4070.6,710.3,36906,7197.77,53509,6854,2434,5815,3459.45,54772,1387,658.07,672,437,750,14404,12811.69,20244.89796,7015,6922,4632,11362,1892,3523.1,36586.62,36483.13
858.29,8940,1623.18,10239,4403.87,7269,656.56,7859,65734.38776,4114.3,699.5,36852,7218.77,52424,6853,2374,5749.54,3456.86,54947,1359,705.12,660,426,742,14237,12626.47,19984.69388,6979,6847,4572,11388,1844,3481.42,36084.96,36618.25
868.33,8911,1572.27,10192,4438.4,7108,658.74,7709,65299.70408,4124,684.5,36587,7165.29,52302,6868,2355,5666.83,3472.03,53788,1326,741.57,642,423,737,14363,12730.16,19574.4898,6864,6809,4541,11268,1828,3436.43,34339.12,38021.88
881.2,8877,1555.82,10031,4458.53,6979,652.26,7339,64443.61224,3984.1,660.9,35874,7120.79,51994,6817,2352,5556.02,3513.98,51727,1275,771.19,617,424,735,14186,12747.93,19273.46939,6621,6734,4456,11064,1807,3392.01,34128.68,38767.63
885.16,8384,1583.37,9680,4407.59,6742,633.59,7146,62802.63265,3708.3,637.4,35283,7008.87,50150,6821,2358,5403.14,3444.37,50359,1222,716.59,596,424,756,13819,12476.01,19386.73469,6413,6807,4547,10868,1839,3382.86,34138.09,38512.5
922.7,8006,1608.17,9326,4466.8,6470,637.83,6931,59839.40816,3475.8,620,34196,6748.96,47344,6913,2370,5284.3,3285.31,48493,1174,666.53,572,439,767,13472,12177.83,19250,6288,6915,4640,10761,1797,3375.15,33591.44,37935
956.01,7704,1626.17,9047,4366.03,6397,626.66,6767,57609.77551,3344,610.1,32790,7012.56,46763,6568,2417,5313.21,3128.91,47903,1147,628.74,562,445,793,13056,11909.19,18973.46939,6117,6731,4710,10788,1701,3362.17,33921.22,36833.38
879.86,7372,1522.57,9297,4064.07,6459,588.93,6521,55546.81633,3267.9,622.4,31770,7057.06,51294,6254,2327,5077.08,2997.47,44959,1104,643.33,573,427,798,12909,11762.84,18146.93878,6116,6179,4422,10578,1625,3195.62,34121.47,35855.75
734.82,6845,1376.71,9052,3633.98,6251,549.07,6156,52158.32653,3123,622.5,29981,6760.95,49206,5768,2104,4835.56,2922.88,41803,1033,617.43,555,399,760,12568,11581.85,16976.53061,5998,5651,4121,10246,1513,3010.24,32549.72,34269
623.92,6437,1206.45,8424,3371.57,6659,512.15,5776,48688.97959,2788.2,594.7,29245,6503.6,43090,5404,1867,4495.63,2762.22,38070,981,635.41,529,359,684,11716,11226.23,15702.04082,5604,5380,3732,9917,1422,2884.09,30953.85,30599
564.19,6188,1144.67,8099,3207.37,6522,480.44,5609,46188.65306,2625.8,568.7,27746,6300.16,41447,5201,1797,4234.9,2524.95,35610,936,595.98,504,318,623,11089,10837.74,15047.95918,5246,5167,3391,9703,1397,2758.84,29759.44,27643.38
543.19,5939,1077.27,7805,3148.62,6479,459.72,5494,44697.58163,2561.5,534.9,26508,6095.24,39260,5026,1806,4044.19,2335.41,34052,911,621.49,479,294,578,10705,10561.11,14697.95918,4986,5064,3136,9539,1337,2681.97,28572.38,25668.75
531.47,5750,1031.03,7649,3087.63,6398,442.89,5455,44199.03061,2501.6,505.2,25568,6006.93,37590,4906,1802,3976.66,2216.2,33047,881,546.7,457,279,547,10459,10409.8,14493.87755,4782,5079,2980,9208,1324,2643.2,27201.44,24385.88
531.01,5744,1011.06,7523,3125.46,6175,429.72,5370,43885.93878,2466,505.6,25022,6002.5,37030,4864,1785,3932.43,2151.64,32693,855,544,454,270,501,10388,10187.25,13889.79592,4666,4969,2884,9089,1333,2621.46,25667.37,23576.13
577.07,5990,1009.37,7354,3250.3,6123,416.24,5255,43671.04082,2460.2,521.7,24691,6152.65,36819,4788,1748,3944.61,2129.28,31814,903,543.33,468,270,479,10203,10137.82,13767.34694,4595,4983,2829,9279,1319,2611.62,23319.61,23133
682.39,6498,1093.7,7526,3453.65,6179,441.19,5579,46143.13265,2619.2,554.5,24427,6204.95,37997,5103,1849,4248.15,2083.14,32474,985,548.42,490,293,490,10378,10366.11,14837.7551,4462,5304,3110,9746,1440,2745.97,22715.53,23295.13
797.81,7198,1277.6,7927,3777.81,6273,488.41,6023,49797.15306,2882,597,24680,6360.56,40214,5691,1897,4611.7,2202.61,36040,1085,574.13,530,334,536,11020,10697.96,16144.89796,4290,5658,3485,10318,1555,2947.37,22761.71,25332.25
894.9,7628,1429.6,8405,4014.96,5924,539.8,6468,53717.18367,3157.9,650.9,26087,6502.28,43183,6276,2085,4823.45,2470.44,39578,1172,611.45,573,376,603,11833,11290.86,17490.81633,4515,5907,3928,10943,1613,3122.42,23813.86,28272.13
935.95,7841,1532.02,8813,4057.18,6230,576.38,6825,56532.59184,3361.3,677.4,28330,6630.38,45505,6742,2222,4997.82,2818.13,42377,1221,638.26,601,400,654,12670,11834.4,18373.46939,4889,6096,4175,11276,1685,3234.56,25647.67,31255
965.28,8004,1566.88,9039,4110.34,6552,594.56,7072,58297.5,3482.7,688.3,30253,6743.29,46684,7093,2294,5135.93,3071.78,43539,1235,655.48,620,412,687,13091,12062.32,18641.83673,5209,6167,4302,11514,1697,3315.72,27024.26,33033.5
980.17,7974,1610.95,9174,4143.88,6610,601.32,7192,59058.96939,3528.1,692.2,31345,6739.45,48049,7345,2372,5189.64,3163.32,43829,1239,677.47,623,426,717,13184,12094.71,18860.20408,5453,6159,4424,11527,1744,3358.81,27965.49,33373.75
985.88,7655,1643.87,9102,4133.62,6570,610.89,7044,58015.20408,3466,682.9,32279,6787.88,49321,7438,2416,5200.46,3168.05,43035,1236,678.52,622,437,752,13049,11939.16,18687.7551,5659,6120,4473,11496,1749,3299.43,28104.47,33253.5
975.15,7488,1645.62,8897,4040.78,7093,611.17,6924,56208.9898,3443.7,680.3,32948,6816.13,47211,7254,2391,5076.67,3198.93,41941,1226,666.71,613,446,773,12819,11717.82,18252.04082,5724,6009,4519,11420,1704,3238.21,28355.4,32342
914.98,7424,1678.82,8648,4024.83,7103,615.36,6686,54655.29592,3360.9,679.4,32884,6868.59,46279,6961,2323,5009.7,3136.21,41433,1208,664.65,606,441,762,12641,11607.51,17691.83673,5550,5909,4415,11320,1637,3135.82,28333.33,30777.13
890.39,7390,1660.14,8640,4047.74,7146,581.56,6632,53806.63265,3304.6,675.6,32308,6931.93,45179,6772,2284,4987.84,3044.28,41157,1196,634,603,437,751,12472,11439.28,17474.4898,5451,5941,4338,11360,1599,3099.73,27977.12,29706.13
887.3,7451,1631.84,8693,4089.65,6978,612.86,6528,53247.18367,3364.1,674,31760,6998.2,44280,6765,2257,4972.91,2979.91,41883,1188,647.6,612,431,742,12497,11551.42,17114.28571,5387,5936,4332,11491,1550,3100.27,27998.62,29638.25
898.03,7487,1578.9,8812,4100.85,6852,622.27,6287,53755.80612,3547.7,679.8,31531,7004.79,44519,6783,2251,4943.46,2993.93,42753,1184,639.85,622,426,734,12671,11687.03,16947.95918,5321,5976,4276,11499,1546,3048.04,28012.89,30667
917.48,7259,1567.94,8918,4119.59,6805,642.29,6214,53751.9898,3414.6,699.7,31376,7073.97,45175,6787,2258,4928.46,3103.48,42954,1175,703.41,630,430,733,12629,11713.97,16805.10204,5284,5973,4217,11393,1538,3034.17,28371.78,32650
933.68,7143,1584.63,8835,4065.1,6369,631.14,6135,52596.60204,3241.1,686.1,31190,6975.59,43987,6730,2270,4933.44,3099.42,43069,1166,721.24,628,440,740,12454,11664.27,16862.2449,5320,6084,4267,11254,1556,3029.93,28923.54,33349.5
971.27,6962,1616.73,8604,4197.65,6271,639.06,6018,50256.78571,3087.1,680.1,30981,6866.97,42058,6969,2294,4934.72,2985.89,42039,1151,717.93,624,454,746,12225,11579.17,16694.89796,5375,6295,4394,11030,1548,3063.76,28996.58,33319.25
993.38,6873,1668.42,8430,4130.85,6294,627.88,6006,48964.77551,2981.7,664.7,30919,7090.7,42270,6742,2396,5040.54,2855.02,41814,1127,632.24,605,463,793,12033,11445.4,16628.57143,5405,6321,4668,10945,1565,3074.37,29412.89,32796.63
915.94,6765,1584.4,8599,3864.77,6217,604.83,5978,48033.44898,2910.4,644.9,31050,7074.19,47309,6347,2371,4776.84,2747.82,39827,1076,646.38,582,442,812,11985,11419.11,16317.34694,5549,5833,4447,10789,1500,2980.4,29497.24,32463
792.58,6222,1446.44,8423,3485.14,6035,576.79,5651,45389.52041,2787.8,616.2,29615,6709.04,46020,5894,2154,4472.66,2728.08,36905,998,693.4,531,414,760,11575,11295.08,15184.69388,5410,5381,4266,10391,1424,2826.54,28328.37,31830.13
665.75,5961,1285.3,7998,3179.31,6124,542.35,5311,42623.79592,2605.6,572.7,28058,6366.38,40721,5521,1886,4182.15,2595.65,33917,950,657.77,488,372,687,10994,11174.95,14191.83673,5118,5109,3896,10017,1343,2722.42,26691.06,29023.63
586.65,5568,1144.98,7628,3068.64,6202,513.35,5155,40688.54082,2468.4,543.8,26576,6192.5,39186,5209,1752,3977.14,2427.74,31702,915,625.41,471,331,607,10518,10752.87,13446.93878,4821,4903,3445,9768,1258,2597.84,24595.87,26430.5
550.93,5464,1062.45,7362,3004.26,6148,491,5078,39523.73469,2401.1,517,25097,6058.39,36607,5002,1738,3827.17,2271.84,30191,892,619.74,454,303,545,10226,10329.86,13065.30612,4566,4744,3139,9609,1249,2527.48,22823.06,24752.38
524,5340,1031.43,7250,2975.01,5959,473.61,5086,38734.79592,2360.7,492.1,24230,5916.97,34848,4920,1688,3745.75,2180.21,29316,861,634.11,436,287,511,10050,10297.14,12759.18367,4396,4708,2986,9416,1202,2536.27,21583.73,23575
539.74,5230,1065.56,7173,2985.62,5795,456.9,4919,38376.96939,2290.5,494.2,23675,5912.95,34276,4838,1653,3663.29,2097.34,29219,847,618.08,437,276,544,9934,10237.35,12032.65306,4280,4606,2938,9394,1203,2486.1,21009.74,22933.25
599.63,5353,1139.45,7011,3070.34,5766,436.23,4738,37966.26531,2291.3,521.9,23529,6000.59,33485,4672,1584,3660.49,2045.7,28457,905,622.15,473,275,563,9770,10231.64,11951.02041,4239,4594,2997,9682,1196,2458.89,20448.79,22110.75
678.6,5650,1220.22,7066,3273.52,5713,449.39,4959,38915.92857,2456.8,574.9,22986,6124.08,33729,4882,1681,3875.7,1980.78,28025,986,629.08,518,299,561,9748,10306.62,12563.26531,4145,4782,3230,10104,1253,2575.63,20392.89,21809.38
791.21,6099,1275.32,7364,3579.44,5857,476.14,5402,41408.28571,2679.9,632.1,22629,6324.99,35165,5283,1722,4083.44,2031.04,29557,1080,645.75,587,343,580,10064,10487.17,13493.87755,3949,5000,3533,10689,1328,2709.31,20783.37,22786.25
868.61,6505,1341.32,7770,3804.13,6126,506.31,5889,44942.85714,2956.6,695.8,23693,6560.19,37721,5717,1888,4314.03,2190.26,31536,1176,670.17,652,406,623,10594,10884.13,14605.10204,4077,5188,3838,11301,1441,2921.91,21515.61,24214.63
902.74,6853,1370.3,8184,3882.45,6375,525.72,6367,48291.92857,3206.1,732.4,25198,6786.4,40325,6154,2063,4528.41,2444.41,33495,1230,602.79,689,438,659,11068,11245.92,15482.65306,4304,5346,4034,11783,1515,3149.43,22057.08,26855.63
925.49,7248,1370.67,8462,3969.15,6570,546.92,6646,50498.44898,3364,741.1,26711,6920.73,42024,6498,2201,4679.87,2688.45,34433,1245,638.87,698,462,683,11444,11614.59,16045.91837,4600,5445,4147,11980,1551,3233.92,22260.21,29527.75
943.9,7468,1362.76,8662,4008.2,6741,562.83,6887,52806.65306,3432.7,740.2,27810,6917.33,43627,6759,2295,4781.13,2883.38,35095,1251,669.98,696,461,704,11636,11701.93,16367.34694,4915,5528,4202,12140,1621,3279.85,22675.78,30720.75
933.98,7248,1348.74,8702,4011.32,6749,576.12,6689,52341.83673,3412.6,735.9,28605,6912.84,45123,6857,2333,4776.86,2970.12,35098,1239,675.54,695,473,716,12003,11653.89,16356.12245,5156,5562,4208,12094,1570,3178.93,22611.37,30981.5
895.8,7048,1336.15,8458,3946.05,6650,581.54,6618,50674.78571,3444.8,735.4,29690,6879.83,42609,6680,2279,4720.19,3025.75,34125,1226,665.24,688,467,712,11977,11650.88,16255.10204,5299,5526,4121,11953,1507,3100.47,22614,30887
833.05,6830,1302.8,8302,3920.65,6264,592.69,6514,49397.27551,3325.8,726.7,30141,6845.59,41413,6553,2209,4734.67,2991.89,33476,1206,666.04,685,472,696,11887,11497.97,15878.57143,5231,5517,4023,11881,1470,3054.5,22962.4,30541.5
788.53,6838,1284.06,8190,3980.02,6394,609.42,6531,48571.56122,3238,725.8,29585,6907.42,40615,6469,2148,4728.33,2884.89,33807,1200,646.94,683,445,681,11670,11565.27,15600,5090,5605,3951,11984,1418,3011.23,23000.07,30305.5
788.65,6693,1266.53,8131,4073.6,6403,625.87,6435,48364.87755,3298,734.1,29129,7004.57,39890,6495,2107,4712.21,2843.44,34285,1198,627.88,690,444,665,11671,11634.96,15465.30612,5025,5643,3927,12184,1422,3010.55,23011.76,30543
800.94,6811,1266.77,8244,4118.22,6635,636.7,6248,49181.38776,3500.7,734,28434,7079.47,40490,6481,2089,4641.1,2848.09,34622,1206,683.1,691,448,661,12095,11626.65,15347.95918,4988,5650,3921,12204,1416,2975.74,23385.63,31997.13
824.2,6904,1269.14,8518,4160.93,6786,644.49,6336,50247.21429,3514.2,742.4,28108,7182.78,42391,6499,2093,4602.05,2923.49,35334,1220,733.85,693,436,656,12236,11735.47,15500,4982,5686,3889,12118,1482,2997.53,23728.39,33599.63
841.92,6679,1279.13,8576,4126.62,5695,630.77,6351,50154.80612,3331.1,736.4,28135,7156.1,42872,6597,2071,4623.68,2955.56,35836,1233,726.19,694,434,653,12169,11801.22,15802.04082,5061,5765,3910,11929,1478,3037.78,24230.5,34232.5
897.92,6610,1323.01,8530,4262.32,5551,644.96,6320,49574.37755,3170.3,721.3,28540,6934.78,42128,7032,2063,4634.63,2875.56,35604,1221,645.55,672,448,693,12101,11869.32,15783.67347,5190,6007,4133,11699,1471,3092.14,25504.89,34642.5
942.85,6734,1395.31,8346,4238.6,5600,653.71,6365,49043.07143,3012,691,29403,7133.82,42424,6983,2136,4680.9,2787.52,36632,1176,633.2,637,464,723,11979,11853.05,16179.59184,5278,5998,4361,11584,1445,3094.98,26090.11,34628.75
869.96,6599,1325.49,8611,3863.98,5822,642.05,6397,49451.67347,2952.1,662.7,30386,7236.09,47499,6634,2215,4424.59,2705.05,35638,1095,638.46,597,451,700,12006,11731.79,16089.79592,5498,5541,4279,11208,1438,2980.45,25593.32,34429.63
732.65,6178,1208.16,8318,3517.44,5473,615.01,6088,46637.7449,2832.4,619.8,29097,6890.34,45815,6120,2019,4156.89,2674.56,32942,1001,682.62,537,416,655,11541,11303.6,14937.7551,5470,5102,3984,10660,1327,2845.07,24788.21,33612
623.4,5880,1084.82,7812,3218.21,5478,579.38,5886,44315.59184,2728.5,579.1,27457,6566.4,40355,5608,1847,3887.84,2513.14,30559,916,673.82,493,367,581,10963,11031.86,13965.30612,5059,4894,3535,10364,1240,2789.93,23625.59,30034.75
561.73,5628,1009,7623,3045.92,5724,545.22,5903,42826.34694,2619.1,562.9,25995,6347.76,39093,5330,1765,3768.73,2310.74,28594,888,643.26,479,324,514,10512,10695.71,13439.79592,4848,4712,3122,10266,1190,2667.24,22109.6,27153.63
538.62,5540,972.62,7423,3007.04,6019,522.33,5748,42152.91837,2569.5,541.8,24838,6211.15,37000,5181,1703,3666.45,2169.02,27486,883,624.82,462,301,467,10350,10507.16,13207.14286,4627,4679,2947,10300,1182,2606.97,21296.2,25947.38
528.32,5500,952.79,7361,3047.14,6087,505.17,5668,42351.65306,2578.8,522.9,24313,6175.71,35869,5113,1681,3629,2096.41,27049,879,643.5,455,286,447,10302,10412.21,13135.71429,4501,4694,2860,10126,1202,2628.97,20601.4,25313.5
531.07,5768,951.04,7548,3122.66,5957,489.6,5645,43864.37755,2578.1,553.1,24191,6435.42,36558,5108,1694,3721.31,2055.4,27300,902,618.05,469,275,447,10335,10379.39,12821.42857,4414,4716,2868,10635,1228,2663.07,20048.6,25084.5
565.83,6724,949.25,7806,3416.49,5753,474.7,5909,47436.16327,2740.2,651.7,24587,7135.77,38713,5189,1704,3950.82,2052.93,28268,1079,599.7,566,275,438,10511,10697.28,13339.79592,4415,5234,2887,12212,1256,2798.26,18931.96,24846
665.69,7990,1048.61,8720,3795.61,5906,514.08,6992,56086.20408,3252.4,772.7,26470,7698.82,43314,5793,1888,4633.68,2068.74,32971,1267,661.68,686,308,464,11433,11635,15985.71429,4424,6060,3307,13753,1570,3212.69,18851.35,26026.88
783.11,8968,1221.4,9563,4181.25,6600,605.84,7644,62928.54082,3842.7,897.7,29015,8111.45,47797,6594,2078,5064.88,2348.5,39643,1409,766.62,804,362,516,12920,12721.56,18366.32653,4574,6682,3746,14412,1742,3444.01,19626.06,31327.13
882.14,9128,1360.08,10149,4416.78,7087,701.7,7989,66735.12245,4159.4,958.9,31366,8346.46,50795,7278,2279,5243.55,2836.76,45857,1489,855.32,868,393,570,13920,13233.56,19713.26531,5116,7016,4180,14742,1825,3577.47,21169.43,36892.88
935.8,9197,1434.98,10486,4416.51,7261,748.25,8167,68169.80612,4222.9,973.4,33485,8374.34,52740,7688,2381,5350.46,3216.18,49169,1518,871.54,886,428,628,14231,13293.23,20301.02041,5828,7151,4277,14920,1807,3627.85,22914.64,38644.38
959.19,9449,1458.33,10685,4497.04,7477,769.36,8131,69590.54082,4344.8,976.7,34744,8410.69,53856,7961,2412,5461.36,3377.4,50459,1522,862.94,889,435,668,14218,13390.68,20442.85714,6222,7190,4341,14894,1814,3604.52,24277.52,38273.63
968.74,9595,1482.96,10881,4506.89,7678,774.99,8241,70740.97959,4363.4,969.7,35413,8455.36,55176,8190,2501,5554.5,3416.25,51663,1519,860.52,874,449,699,14258,13330.47,20841.83673,6391,7260,4394,14815,1845,3659.46,25206.45,38195.25
971.6,9298,1483.12,10698,4565.09,7268,783.69,8353,70384.17347,4282.8,984.1,36234,8407.2,55498,8386,2573,5598.18,3462.54,50561,1537,853.36,897,461,722,14070,13227.36,20919.38776,6554,7373,4453,14826,1875,3655.14,25472.6,38418.38
966.76,9282,1487.94,10630,4563.42,7401,785.77,8295,69887.08163,4299.6,978,36730,8357.38,54742,8312,2594,5549.35,3510.56,50764,1520,882.64,885,469,729,14107,13152.43,20907.14286,6428,7352,4451,14756,1885,3595.37,25492.03,38399.75
915.41,9190,1507.57,10514,4557.92,7391,806.69,8048,68688.5102,4213.7,966.9,36129,8260.04,54056,7996,2546,5539.75,3472.02,52106,1498,804.17,862,467,721,13987,13051.94,20524.4898,6404,7267,4395,14684,1856,3562.85,25471.23,37904
886.93,9127,1492.9,10442,4528.92,7344,801.36,8088,67512.81633,4069.6,941.5,35712,8214.84,52939,7707,2476,5536.66,3477.4,53050,1455,842.68,848,455,708,13971,12976.21,20313.26531,6582,7137,4325,14412,1814,3520.68,25348.07,37883.5
880.84,9040,1458.7,10361,4480.79,7215,797.3,8031,65958.76531,3975.1,933.2,35760,8176.13,51887,7515,2439,5494.66,3507.91,53759,1409,893.19,816,451,689,13993,12870.8,19924.4898,6641,7055,4252,14319,1798,3517.44,25366.54,38655.25
892.14,9026,1416.26,10390,4505.09,7013,778.87,7883,65380.19388,4169.1,900.2,35849,8133.49,51353,7430,2401,5426.57,3562.84,51875,1388,888.21,808,449,670,14159,12817.36,19568.36735,6655,6979,4225,14030,1751,3528.31,25574.61,40850.38
909.03,8979,1388.98,10302,4494.28,7013,753.02,7586,64670.39796,4075,876.2,35258,8222.98,52501,7348,2388,5341.69,3653.94,49653,1361,890.91,784,451,659,13828,12605.91,19285.71429,6510,6906,4110,13785,1741,3471.98,25759.83,42375.13
913.65,8530,1371.32,9919,4407.78,6897,713.85,7520,63373.53061,3833.3,844.9,34664,8165.66,50891,7289,2387,5288.65,3571.62,48056,1337,876.66,762,449,657,13606,12631.85,19491.83673,6351,6929,4155,13468,1791,3479.41,26161.44,42505.75
